date,username,to,replies,retweets,favorites,text,geo,mentions,hashtags,id,permalink
2020-01-31 23:21:18,sailorgoonnn,,2,3,12,"the energy from today’s #ftp3 protest was electric. @NYGovCuomo insists on sending the NYPD into the MTA like his own personal poor police so WE insist on showing up to defend our people who can’t pay 2.75. Period",,@NYGovCuomo,#ftp3,1223385797958799361,https://twitter.com/sailorgoonnn/status/1223385797958799361
2020-01-31 23:21:15,mishellymissyW,JFNYC1,0,10,51,"#BackingTheBlue #BlueLivesMatter SHAME ON DUMBO CUOMO @NYGovCuomo & DUMBLAHsio @NYCMayor",,@NYGovCuomo @NYCMayor,#BackingTheBlue #BlueLivesMatter,1223385785573003265,https://twitter.com/mishellymissyW/status/1223385785573003265
2020-01-31 23:11:29,wr2020ny,JackPosobiec,0,5,41,"probably a staffer either with @NYGovCuomo or @NYCMayor #BackTheBlue",,@NYGovCuomo @NYCMayor,#BackTheBlue,1223383326607671296,https://twitter.com/wr2020ny/status/1223383326607671296
2020-01-31 22:20:51,USAloveGOD,,7,64,32,"Anti-Police, Anti-MTA Fare Protesters Gather At #GrandCentral Following Acts Of Subway Vandalism #DomesticTerrorism #NewYork #NYC @NYCMayor @NYGovCuomo https://newyork.cbslocal.com/2020/01/31/anti-police-protest/ …",,@NYCMayor @NYGovCuomo,#GrandCentral #DomesticTerrorism #NewYork #NYC,1223370586522640386,https://twitter.com/USAloveGOD/status/1223370586522640386
2020-01-31 20:01:30,HelloAdvocacy,,0,4,7,"Immigrant communities, especially those in #UpstateNY, depend on resources like these to ensure fair treatment under the law. @NYGovCuomo, do the right thing and reinstate this program! #immigrantjustice @thenyic @timesunion @Becca_Carballohttps://www.timesunion.com/news/article/Advocates-implore-Cuomo-to-fund-legal-services-15014256.php …",,@NYGovCuomo @thenyic @timesunion @Becca_Carballohttps,#UpstateNY #immigrantjustice,1223335515581186048,https://twitter.com/HelloAdvocacy/status/1223335515581186048
2020-01-31 19:18:17,YADArmy1,charliecbaker,1,4,13,"Salt Bae is allowed to make fortunes off the backs of his unpaid staff bc @NYGovCuomo is apparently a bigger fan of criminal bosses than workers who are being stolen from. The SWEAT bill will end wage theft for hundreds of thousands of workers across the state #SignSWEATnowhttps://twitter.com/charliecbaker/status/1223310413464510473 …",,@NYGovCuomo,#SignSWEATnowhttps,1223324642804240385,https://twitter.com/YADArmy1/status/1223324642804240385
2020-01-31 18:57:21,VerneyLionel,,3,25,21,"Here’s another reason to #EscapeFromNY ~ the state of #NewYork is now demanding us peasants give them money so we can look up at the sky! #StargazingPermit The only 2 regimes to have ever regulated stargazing have been the inquisition &amp; @NYGovCuomo https://www.thegatewaypundit.com/2020/01/cant-make-this-up-new-york-state-is-now-mandating-stargazing-permits-for-looking-at-the-sky/ …pic.twitter.com/9vkYWOoySC",,@NYGovCuomo,#EscapeFromNY #NewYork #StargazingPermit,1223319372850057216,https://twitter.com/VerneyLionel/status/1223319372850057216
2020-01-31 18:50:00,thevapinghorror,Pissed_OffFrogs,2,19,34,"This happens when @American_Heart @LungAssociation @ABC @CNN @NBCNews @TobaccoFreeKids @ParentsvsVape @truthinitiative @MikeBloomberg @NYGovCuomo @CharlieBakerMA @GovWhitmer @CDCgov @US_FDA @Surgeon_General all lie to the American public for their own financial gain #WeVapeWeVotehttps://twitter.com/Pissed_OffFrogs/status/1223287561369673731 …",,@American_Heart @LungAssociation @ABC @CNN @NBCNews @TobaccoFreeKids @ParentsvsVape @truthinitiative @MikeBloomberg @NYGovCuomo @CharlieBakerMA @GovWhitmer @CDCgov @US_FDA @Surgeon_General,#WeVapeWeVotehttps,1223317523061448704,https://twitter.com/thevapinghorror/status/1223317523061448704
2020-01-31 18:24:54,nora_almeida,,1,24,24,"While people wait in line for computer access in the library, the City Tech learning center, tutoring services, and labs are closed because of budget cuts. #fundcunynow @NYGovCuomo @CUNYRising @cuny_free @CUNYUSS pic.twitter.com/4Yp27NDpdi",,@NYGovCuomo @CUNYRising @cuny_free @CUNYUSS,#fundcunynow,1223311208595456002,https://twitter.com/nora_almeida/status/1223311208595456002
2020-01-31 17:46:49,macartney,NYPDTransit,2,3,31,"Literally the subways are falling apart and @NYGovCuomo is wasting hundreds of millions of dollars to have even more police march down the middle of train cars to intimidate folks. This is scary as fuck. Get off the trains yo. We just trying to get to work here. https://twitter.com/NYPDTransit/status/1223297188656295936 … – at Queens, NY",,@NYGovCuomo,,1223301624099147776,https://twitter.com/macartney/status/1223301624099147776
2020-01-31 17:34:13,NYSDEC,,2,3,13,"Beautiful day to be in NY’s breathtaking North Country as DEC Commissioner @BasilSeggos delivers budget presentation on behalf of @NYGovCuomo and also reminds New Yorkers the plastic bag ban starts March 1st. #BYOBagNYpic.twitter.com/ivazXUhFT6",,@BasilSeggos @NYGovCuomo,#BYOBagNYpic,1223298450474831874,https://twitter.com/NYSDEC/status/1223298450474831874
2020-01-31 16:45:16,nourn_ny,nytopinion,0,5,13,"Finally! A bold @NYGovCuomo used his executive power to pardon Tyrone, who was directly transferred from prison to ICE detention. All Governors & @GavinNewsom can the people & CA count on you to do the same to #FreeLiyah & others in detention facing deportation?https://twitter.com/nytopinion/status/1222879539971416064 …",,@NYGovCuomo @GavinNewsom,#FreeLiyah,1223286135415197696,https://twitter.com/nourn_ny/status/1223286135415197696
2020-01-31 16:32:58,m_jfrench,,1,4,8,". @NickReisman with the last two Climate Action Council members from @NYGovCuomo > @jimmalatras (architect of the nuclear bailout and Cuomo's ""Green New Deal"") > Rose Harvey, a former parks commissioner https://nystateofpolitics.com/state-of-politics/new-york/ny-state-of-politics/2020/01/31/cuomo-makes-climate-action-council-appointees …",,@NickReisman @NYGovCuomo @jimmalatras,,1223283037099765761,https://twitter.com/m_jfrench/status/1223283037099765761
2020-01-31 16:31:32,GeenaJagger,MrAndyNgo,0,16,6,"Do your damn Jobs @NYCMayor and @NYGovCuomo #NYChttps://twitter.com/MrAndyNgo/status/1222941214162374657 …",,@NYCMayor @NYGovCuomo,#NYChttps,1223282676003721223,https://twitter.com/GeenaJagger/status/1223282676003721223
2020-01-31 15:30:52,daynster,bradhoylman,0,16,35,"Interesting...there are quite a few children that cannot attend school b/c of the #hatecrime you and @NYGovCuomo committed against #religious #conservatives and the #orthodox #jews this past June. #disabledchildren are not receiving much needed services b/c of you! #hypocritehttps://twitter.com/bradhoylman/status/1223258152453492736 …",,@NYGovCuomo,#hatecrime #religious #conservatives #orthodox #jews #disabledchildren #hypocritehttps,1223267412184793089,https://twitter.com/daynster/status/1223267412184793089
2020-01-31 15:26:52,BasilSeggos,,7,2,37,"Looking forward to delivering the @NYGovCuomo 2020-2021 Budget Address in beautiful Plattsburgh today. See you soon @MichaelSCashman and North Country friends!pic.twitter.com/iq2FdpZZyV",,@NYGovCuomo @MichaelSCashman,,1223266404520153088,https://twitter.com/BasilSeggos/status/1223266404520153088
2020-01-31 15:22:02,tedcruz,ChrisCuomo,1386,3754,12144,"There was a time when CNN journalists were supposed to want to discover the truth, not help Dems cover it up. The Dem arg that Hunter Biden isn’t “relevant” (which Cuomo dutifully repeats) is just silly. Here’s why: the House Managers based their case on the proposition... 1/x https://twitter.com/ChrisCuomo/status/1222954753354797056 …",,,,1223265189413388288,https://twitter.com/tedcruz/status/1223265189413388288
2020-01-31 15:20:32,bigricanman,NYDailyNews,20,26,81,"Have @NYCMayor or @NYGovCuomo spoken out against this, or are they going to allow their fanbase to get dealt with by the greatest police department in the world? https://twitter.com/NYDailyNews/status/1223257689385504768 …",,@NYCMayor @NYGovCuomo,,1223264808532946944,https://twitter.com/bigricanman/status/1223264808532946944
2020-01-31 14:21:21,PasReport,NYCPBA,11,96,61,"Welcome to @NYCMayor NYC & @NYGovCuomo NY. For the last 10yrs., he and his ilk have demonized #LawEnforcement to the point where many have little respect for authority. The situation will only worsen & anarchy will be the norm until we have real #leadership. #BlueLivesMatterhttps://twitter.com/NYCPBA/status/1222945196318568448 …",,@NYCMayor @NYGovCuomo,#LawEnforcement #leadership #BlueLivesMatterhttps,1223249914995580928,https://twitter.com/PasReport/status/1223249914995580928
2020-01-31 03:46:01,Dixieann18,ElieNYC,1,2,34,"@NYGovCuomo @GavinNewsom What say you? It's time to secede from this union. The Northeast states & VA, as well as California & the PNW states, can all be part of Canada. They will take us as we have the most money. Seriously, think about it.",,@NYGovCuomo @GavinNewsom,,1223090027724529665,https://twitter.com/Dixieann18/status/1223090027724529665
2020-01-31 22:32:51,PuppyStomper87,NYGovCuomo,1,5,13,"The funny part is your administration just let the leaders of a $7 million ring go without bail in NYC. Can't keep the pandering and reality of your crappy legislation straight. I mean, if you're going to pander at least don't turn around and contradict it.",,,,1223373607625248770,https://twitter.com/PuppyStomper87/status/1223373607625248770
2020-01-31 21:43:10,AmongLiving,CasperC99350818,3,10,14,"Amen brother. I’m a LIFE LONG Democrat and from this point on I’m voting Republican and so is my wife. Do I want a fare beater to sit in jail if he can’t afford bail? Of course not. But these idiots have gone WAY BEYOND basic common sense and reason!",,,,1223361104551841793,https://twitter.com/AmongLiving/status/1223361104551841793
2020-01-31 20:42:11,Michael_Sn0w,,0,3,7,". @OrthodoxUnion Lauds @NYGovCuomo Proposal to Expand Securing Communities Against Hate Program to Include Synagogues, Other Houses of Worship https://www.ou.org/news/orthodox-union-lauds-gov-cuomo-for-proposal-to-expand-securing-communities-against-hate-program-to-include-synagogues-other-houses-of-worship/#.XjSPc24J8Pg.twitter …",,@OrthodoxUnion @NYGovCuomo,#,1223345755924115457,https://twitter.com/Michael_Sn0w/status/1223345755924115457
2020-01-31 19:34:38,MikeWReilly,,0,2,2,".. @NYGovCuomo you said changes to bail reform laws are ‘necessary’. We continue to see that is true. Issue an Executive Order to suspend the law for 30 days to force @NYSA_Majority @NYSenDems to move on changes. Read my letter to Gov. Cuomo here: pic.twitter.com/M25QiZss0u https://twitter.com/EdwardRa19/status/1223322613520486400 …",,@NYGovCuomo @NYSA_Majority @NYSenDems,,1223328757693452288,https://twitter.com/MikeWReilly/status/1223328757693452288
2020-01-31 19:13:17,kmclyons,nysut,0,8,10,"Another day on the #FundOurFutureNY tour and the message remains the same: our students need more support, so they are available to learn! Fully fund our schools! @AndyPallotta @nysutEVP @NYGovCuomo @AFTunion @Grubiak_ @mspetterhttps://twitter.com/nysut/status/1223280540167569410 …",,@AndyPallotta @nysutEVP @NYGovCuomo @AFTunion @Grubiak_ @mspetterhttps,#FundOurFutureNY,1223323381308821506,https://twitter.com/kmclyons/status/1223323381308821506
2020-01-31 19:07:11,NassauExecutive,,0,2,10,"With severe weather events and emergencies becoming more frequent and more extreme, NYS and Nassau County are stepping up to ensure our residents are prepared. Thanks to @NYGovCuomo’s office for bringing the Citizen Preparedness Corps workshop training to the 5 Towns last night. pic.twitter.com/SBvZUD7Ff2",,@NYGovCuomo,,1223321848991141888,https://twitter.com/NassauExecutive/status/1223321848991141888
2020-01-31 19:05:14,ArtsWestchester,,2,1,4,"ArtsWestchester has a vision for #WestchesterCounty–and it includes public art! We're excited to spotlight the work of 8 NYS artists with our recent collaboration w/ @NYGovCuomo and @NYSThruway! #awpublicart More in @PeterKramer's @lohud article:http://bit.ly/2tgOx7T",,@NYGovCuomo @NYSThruway @PeterKramer @lohud,#WestchesterCounty #awpublicart,1223321357741588482,https://twitter.com/ArtsWestchester/status/1223321357741588482
2020-01-31 18:37:01,NY_Pharmacists,A_Ciaccia,0,2,9,"Think that it happens in NY too? Maybe, maybe not. Given the fact it is happening other states, let’s find out!An audit seems prudent. #FixRx @NYGovCuomo @melissadderosa @RichAzzopardi @NewYorkStateAG @NYSComptrollerhttps://twitter.com/A_Ciaccia/status/1223277749864976384 …",,@NYGovCuomo @melissadderosa @RichAzzopardi @NewYorkStateAG @NYSComptrollerhttps,#FixRx,1223314256071921677,https://twitter.com/NY_Pharmacists/status/1223314256071921677
2020-01-31 18:01:03,MichaelSCashman,,2,0,12,"It was fantastic to have my friend and colleague in government @BasilSeggos back in town to give a regional presentation on @NYGovCuomo 2020-2012 Budget. Many thanks for making the trip up to Plattsburgh. pic.twitter.com/GVPbbk6GRK",,@BasilSeggos @NYGovCuomo,,1223305206697472001,https://twitter.com/MichaelSCashman/status/1223305206697472001
2020-01-31 17:59:16,NYSDEC,,0,2,6,"DEC Commissioner @BasilSeggos had a great discussion with @WAMCRadio's North Country Bureau Chief Pat Bradley on details of New York's plastic bag ban. #BYOBagNYpic.twitter.com/fmWQiLWAU9",,@BasilSeggos @WAMCRadio,#BYOBagNYpic,1223304756862554113,https://twitter.com/NYSDEC/status/1223304756862554113
2020-01-31 17:53:05,John2261,bigricanman,0,3,6,"Angel, as one who lives in the Epicenter of this garbage that @NYCMayor & @NYGovCuomo have created what r the citizens saying? Is the majority of New Yorkers really tired of both administrations that run the state & city? They don't care about the good people of the city. #SAD",,@NYCMayor @NYGovCuomo,#SAD,1223303198561140741,https://twitter.com/John2261/status/1223303198561140741
2020-01-31 17:07:55,MelissaRaeToro1,ritamollerpalma,0,12,16,"Fix what you broke for our healthy kids now traumatized because of your ignorance and legalization of segregation and discrimination! Shame on you make it right with S7573 @NYGovCuomo @CarlHeastie @AndreaSCousins @DickGottfried @NYSenatorRivera #ReversetheCurse #FixWhatYouBrokehttps://twitter.com/ritamollerpalma/status/1223279103488548865 …",,@NYGovCuomo @CarlHeastie @AndreaSCousins @DickGottfried @NYSenatorRivera,#ReversetheCurse #FixWhatYouBrokehttps,1223291833847029760,https://twitter.com/MelissaRaeToro1/status/1223291833847029760
2020-01-31 16:08:04,nyerwithheart,bigricanman,1,2,5,"Of course not! They're hiding behind their armed security & riding in chauffer driven cars. Meanwhile, the working class have to ride with these criminals to get to WORK!",,,,1223276773674233856,https://twitter.com/nyerwithheart/status/1223276773674233856
2020-01-31 16:00:41,sonjagrgurovic,seanhannity,0,2,11,"Way to go @NYGovCuomo and @NYCMayor you are ruining New York",,@NYGovCuomo @NYCMayor,,1223274913332633602,https://twitter.com/sonjagrgurovic/status/1223274913332633602
2020-01-31 15:54:46,Charlie1691,bigricanman,0,2,7,"This demonstration is what happens when loony, left crazed liberals lead government. I think of Officer Bobby Bilodeau who confronted 4 armed scumbags in an alley on 120 St & was gunned downed exactly 40 yrs ago in Feb. 1980. Now today we ""celebrate"" & have parades for cop-killer",,,,1223273424983818242,https://twitter.com/Charlie1691/status/1223273424983818242
2020-01-31 14:36:17,niclama7,PasReport,0,3,4,"WTF??!! Seriously? This damn city is so out of control. The homeless everywhere, the filth and garbage, Times Square is back to its glory as it was in the early 80's, drugs, crime, everything Giuliani did to clean up the city has been undone. Gotham is back. #BackTheBlue",,,#BackTheBlue,1223253672118902784,https://twitter.com/niclama7/status/1223253672118902784
2020-01-31 14:23:29,bwatts86600281,,0,3,8,"@DDAWNY_ @peopleincnews Legislative Breakfast parents and loved ones speak to crisis of @Fair2DirectCare in NYS @NYGovCuomo @LtGovHochulNY @AlVaughters4pic.twitter.com/gtb61Zoopn",,@DDAWNY_ @peopleincnews @Fair2DirectCare @NYGovCuomo @LtGovHochulNY @AlVaughters4pic,,1223250451900006400,https://twitter.com/bwatts86600281/status/1223250451900006400
2020-01-31 14:14:31,AmongLiving,NYGovCuomo,0,5,3,"Strong action by RELEASING the hate crime offenders once the police bring them in and “pray” they come back for a future court date!pic.twitter.com/fOy5zkUSB5",,,,1223248197608517637,https://twitter.com/AmongLiving/status/1223248197608517637
2020-01-31 13:52:23,EricWeltman,,1,6,17,"Great @fwaction meeting last night at @EthicalNYC with @SaneEnergy discussing #NationalGridLies and the fight to get @NYGovCuomo to stop fracking infrastructure. #OffFossilFuels #BanFrackingNow #GreenNewDealNowpic.twitter.com/Qv8py0CyEO",,@fwaction @EthicalNYC @SaneEnergy @NYGovCuomo,#NationalGridLies #OffFossilFuels #BanFrackingNow #GreenNewDealNowpic,1223242625794351104,https://twitter.com/EricWeltman/status/1223242625794351104
2020-01-31 10:52:06,alisonc91173798,lifebiomedguru,1,6,7,"I wonder why? #corrupt @NYGovCuomo https://twitter.com/lifebiomedguru/status/1222973239338717185 …",,@NYGovCuomo,#corrupt,1223197257752883200,https://twitter.com/alisonc91173798/status/1223197257752883200
2020-01-31 08:37:51,Flirtyflipper,,0,11,27,"Will you let these punks out on bail reform you morons? NYPD texted me this-you gonna protect us?? @NYGovCuomo @NYCMayorpic.twitter.com/PyTXtIVLGT",,@NYGovCuomo @NYCMayorpic,,1223163473095426048,https://twitter.com/Flirtyflipper/status/1223163473095426048
2020-01-31 06:53:01,patdixon,decolonize_this,2,7,29,"Here we go! @NYGovCuomo has made arresting these people pointless w the bail reform. @NYCMayor has encouraged chaos by embracing all forms of protest. @CoreyinNYC emboldened them by condemning their enemies. The press supports them. If you don’t like this shit, NOBODY CARES.https://twitter.com/decolonize_this/status/1222218010267734017 …",,@NYGovCuomo @NYCMayor @CoreyinNYC,,1223137089279156230,https://twitter.com/patdixon/status/1223137089279156230
2020-01-31 02:00:46,JimRockaway,,2,7,14,"Rally at Travers - we gathered to demand @NYGovCuomo fund a robust #QueensBusRedesign that places frequency, destination accessibility & camera enforced bus lanes at the forefront of the redesign. #cuomosMTApic.twitter.com/XGXwff6IRN – at Travers Park",,@NYGovCuomo,#QueensBusRedesign #cuomosMTApic,1223063541562986497,https://twitter.com/JimRockaway/status/1223063541562986497
2020-01-31 01:49:19,LtGovHochulNY,,3,2,22,"Proud to accept @NYSACDL’s 2020 Criminal Justice Reformer award on behalf of @NYGovCuomo. pic.twitter.com/r766lK8yav",,@NYSACDL @NYGovCuomo,,1223060661313380357,https://twitter.com/LtGovHochulNY/status/1223060661313380357
2020-01-31 01:30:44,YADArmy1,,0,7,20,"From NYC to Binghamton to Buffalo — workers are demanding that @NYGovCuomo #SignOrResign Without SWEAT, workers will continue to be robbed of $1billion in wages every year in New York. We will be picketing next at 12pm on March 2nd unless Cuomo can #SignSWEATnowpic.twitter.com/tDFwvzk84U",,@NYGovCuomo,#SignOrResign #SignSWEATnowpic,1223055982147842048,https://twitter.com/YADArmy1/status/1223055982147842048
2020-01-31 00:35:44,montana_skeptic,Seawolfcap,8,12,71,"Here's the real question: Why don't @NYGovCuomo and @EmpireStateDev demand that $TSLA open the doors and allow reporters a full-access tour of the Riverbend factory? Failure to do so immediately suggests they are inept, or corrupt, or both.https://twitter.com/Seawolfcap/status/1223002914526056449 …",,@NYGovCuomo @EmpireStateDev,,1223042142853091328,https://twitter.com/montana_skeptic/status/1223042142853091328
2020-01-30 22:53:51,ScherieMurray,,17,116,575,"We need term limits at the state & federal levels of our government. People are in danger in New York. @NYGovCuomo said “the perfect would have been the whole elimination of bail.” @nydems in Albany have gone too far with bail reform. Vote GOP in 2020.https://m.youtube.com/watch?v=RlQCnFclWUs&feature=youtu.be …",,@NYGovCuomo @nydems,,1223016502443626496,https://twitter.com/ScherieMurray/status/1223016502443626496
